dose_id,angle,band_label,wavelength_nm,reflectance
dose_2,12Oclock,320_480nm,378.5,0.1094526425004005
dose_2,12Oclock,320_480nm,379.0,0.1097945794463157
dose_2,12Oclock,320_480nm,379.5,0.1107362334926922
dose_2,12Oclock,320_480nm,380.0,0.1098617215951283
dose_2,12Oclock,320_480nm,380.5,0.1085441907246907
dose_2,12Oclock,320_480nm,381.0,0.1067196677128473
dose_2,12Oclock,320_480nm,381.5,0.1072759379943211
dose_2,12Oclock,320_480nm,382.0,0.1097958510120709
dose_2,12Oclock,320_480nm,382.5,0.1116684476534525
dose_2,12Oclock,320_480nm,383.0,0.1124968926111856
dose_2,12Oclock,320_480nm,383.5,0.1108035221695899
dose_2,12Oclock,320_480nm,384.0,0.1105226104458172
dose_2,12Oclock,320_480nm,384.5,0.1106726129849751
dose_2,12Oclock,320_480nm,385.0,0.1116553544998168
dose_2,12Oclock,320_480nm,385.5,0.1121300905942916
dose_2,12Oclock,320_480nm,386.0,0.1116230761011441
dose_2,12Oclock,320_480nm,386.5,0.1108343526721
dose_2,12Oclock,320_480nm,387.0,0.1153201659520466
dose_2,12Oclock,320_480nm,387.5,0.117515742778778
dose_2,12Oclock,320_480nm,388.0,0.1169328093528747
dose_2,12Oclock,320_480nm,388.5,0.1128170813123384
dose_2,12Oclock,320_480nm,389.0,0.11167424172163
dose_2,12Oclock,320_480nm,389.5,0.1137419243653614
